x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-251.969,-139.087,2.88884e-10,1.74444e-14,1.25815e-14,3.69249e-13,-1.24472e-10,7.24548e-13,3.99095e-10,4.03173e-13,1.40014e-10
-251.969,-135.055,2.83829e-10,1.67488e-14,1.25952e-14,3.68151e-13,-1.18414e-10,7.22987e-13,4.05238e-10,4.00965e-13,1.33689e-10
-251.969,-131.024,2.78762e-10,1.60692e-14,1.25859e-14,3.6642e-13,-1.12456e-10,7.20123e-13,4.10895e-10,3.98119e-13,1.27465e-10
-251.969,-126.992,2.7369e-10,1.54062e-14,1.25548e-14,3.64098e-13,-1.06611e-10,7.16043e-13,4.16078e-10,3.94681e-13,1.21352e-10
-251.969,-122.961,2.6862e-10,1.47609e-14,1.25032e-14,3.61226e-13,-1.00887e-10,7.10833e-13,4.20798e-10,3.907e-13,1.15361e-10
-251.969,-118.929,2.63562e-10,1.41338e-14,1.24323e-14,3.57847e-13,-9.52927e-11,7.0458e-13,4.25067e-10,3.86219e-13,1.095e-10
-251.969,-114.898,2.5852e-10,1.35254e-14,1.23435e-14,3.54003e-13,-8.98359e-11,6.97368e-13,4.28897e-10,3.81286e-13,1.03776e-10
-251.969,-110.866,2.53502e-10,1.2936e-14,1.2238e-14,3.49735e-13,-8.45227e-11,6.89281e-13,4.32302e-10,3.75944e-13,9.81977e-11
-251.969,-106.835,2.48513e-10,1.23659e-14,1.21171e-14,3.45081e-13,-7.93581e-11,6.80401e-13,4.35296e-10,3.70235e-13,9.2769e-11
-251.969,-102.803,2.43559e-10,1.18153e-14,1.19821e-14,3.40082e-13,-7.43466e-11,6.70806e-13,4.37892e-10,3.64201e-13,8.74949e-11
-251.969,-98.7717,2.38646e-10,1.12841e-14,1.18343e-14,3.34774e-13,-6.94912e-11,6.60573e-13,4.40104e-10,3.57881e-13,8.23789e-11
-251.969,-94.7402,2.33777e-10,1.07724e-14,1.16747e-14,3.29193e-13,-6.47946e-11,6.49775e-13,4.41948e-10,3.51314e-13,7.74238e-11
-251.969,-90.7087,2.28958e-10,1.02799e-14,1.15046e-14,3.23375e-13,-6.02584e-11,6.38482e-13,4.43437e-10,3.44534e-13,7.26314e-11
-251.969,-86.6772,2.24192e-10,9.80649e-15,1.13251e-14,3.1735e-13,-5.58834e-11,6.26761e-13,4.44587e-10,3.37576e-13,6.80029e-11
-251.969,-82.6457,2.19483e-10,9.35183e-15,1.11373e-14,3.11152e-13,-5.16699e-11,6.14676e-13,4.45411e-10,3.30472e-13,6.35386e-11
-251.969,-78.6142,2.14833e-10,8.91564e-15,1.09423e-14,3.04808e-13,-4.76174e-11,6.02285e-13,4.45925e-10,3.23252e-13,5.92384e-11
-251.969,-74.5827,2.10247e-10,8.49749e-15,1.0741e-14,2.98347e-13,-4.37251e-11,5.89646e-13,4.46142e-10,3.15944e-13,5.51015e-11
-251.969,-70.5512,2.05726e-10,8.09702e-15,1.05344e-14,2.91794e-13,-3.99913e-11,5.7681e-13,4.46078e-10,3.08573e-13,5.11264e-11
-251.969,-66.5197,2.01273e-10,7.71374e-15,1.03234e-14,2.85173e-13,-3.64142e-11,5.63827e-13,4.45746e-10,3.01165e-13,4.73114e-11
-251.969,-62.4882,1.9689e-10,7.34722e-15,1.01087e-14,2.78507e-13,-3.29913e-11,5.50742e-13,4.45159e-10,2.93741e-13,4.36542e-11
-251.969,-58.4567,1.92578e-10,6.99692e-15,9.89133e-15,2.71817e-13,-2.97201e-11,5.37597e-13,4.44332e-10,2.86323e-13,4.01523e-11
-251.969,-54.4252,1.88339e-10,6.66234e-15,9.67187e-15,2.65121e-13,-2.65974e-11,5.2443e-13,4.43277e-10,2.78927e-13,3.68026e-11
-251.969,-50.3937,1.84174e-10,6.34301e-15,9.45104e-15,2.58437e-13,-2.362e-11,5.11278e-13,4.42007e-10,2.71573e-13,3.3602e-11
-251.969,-46.3622,1.80083e-10,6.03832e-15,9.22948e-15,2.5178e-13,-2.07844e-11,4.98173e-13,4.40536e-10,2.64274e-13,3.05471e-11
-251.969,-42.3307,1.76069e-10,5.74778e-15,9.00777e-15,2.45166e-13,-1.80869e-11,4.85143e-13,4.38874e-10,2.57046e-13,2.76341e-11
-251.969,-38.2992,1.7213e-10,5.47088e-15,8.78645e-15,2.38607e-13,-1.55235e-11,4.72216e-13,4.37035e-10,2.49899e-13,2.48593e-11
-251.969,-34.2677,1.68268e-10,5.20707e-15,8.56604e-15,2.32115e-13,-1.30904e-11,4.59415e-13,4.35028e-10,2.42846e-13,2.22187e-11
-251.969,-30.2362,1.64482e-10,4.95581e-15,8.34695e-15,2.257e-13,-1.07835e-11,4.46762e-13,4.32866e-10,2.35895e-13,1.97083e-11
-251.969,-26.2047,1.60774e-10,4.7166e-15,8.12963e-15,2.19372e-13,-8.59867e-12,4.34276e-13,4.30558e-10,2.29056e-13,1.73239e-11
-251.969,-22.1732,1.57141e-10,4.48893e-15,7.9144e-15,2.13139e-13,-6.5317e-12,4.21973e-13,4.28116e-10,2.22336e-13,1.50614e-11
-251.969,-18.1417,1.53585e-10,4.27234e-15,7.70163e-15,2.07008e-13,-4.57842e-12,4.09867e-13,4.25548e-10,2.15741e-13,1.29166e-11
