r,theta,gamma11,gamma12,gamma13,gamma22,gamma23,gamma33,K11,K12,K13,K22,K23,K33,Gamma_0_0_0,Gamma_0_0_1,Gamma_0_0_2,Gamma_0_1_0,Gamma_0_1_1,Gamma_0_1_2,Gamma_0_2_0,Gamma_0_2_1,Gamma_0_2_2,Gamma_1_0_0,Gamma_1_0_1,Gamma_1_0_2,Gamma_1_1_0,Gamma_1_1_1,Gamma_1_1_2,Gamma_1_2_0,Gamma_1_2_1,Gamma_1_2_2,Gamma_2_0_0,Gamma_2_0_1,Gamma_2_0_2,Gamma_2_1_0,Gamma_2_1_1,Gamma_2_1_2,Gamma_2_2_0,Gamma_2_2_1,Gamma_2_2_2
2,2.79602,5.82353,0,0,4.71706,0,0.560959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.82743,5.84278,0,0,4.73265,0,0.465557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.85885,5.86044,0,0,4.74695,0,0.378526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.89027,5.87642,0,0,4.7599,0,0.300086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.92168,5.89069,0,0,4.77145,0,0.230429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.9531,5.90316,0,0,4.78156,0,0.169723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.98451,5.9138,0,0,4.79018,0,0.118114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.01593,5.92256,0,0,4.79728,0,0.0757242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.04734,5.92942,0,0,4.80283,0,0.0426521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.07876,5.93433,0,0,4.80681,0,0.0189746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.11018,5.93728,0,0,4.8092,0,0.00474637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.14159,5.93827,0,0,4.81,0,4.97558e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,0,5.26055,0,0,5.1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,0.0314159,5.25973,0,0,5.1356,0,0.00506839,0,0,0,0,0,0,-0.712762,0.00494848,-0.00494848,-0.00494848,0.395458,0.395458,0.395458,0.395458,0.000390153,-0.00506809,0.405016,-0.405016,-0.405016,-0.00494848,-0.00494848,-0.00494848,-0.00494848,0.0313953,0,0,0,0,0,0,0,0,0
2.08,0.0628319,5.25728,0,0,5.13321,0,0.0202612,0,0,0,0,0,0,-0.712569,0.00988204,-0.00988204,-0.00988204,0.395642,0.395642,0.395642,0.395642,0.00155956,-0.0101209,0.405205,-0.405205,-0.405205,-0.00988204,-0.00988204,-0.00988204,-0.00988204,0.0627432,0,0,0,0,0,0,0,0,0
2.08,0.0942478,5.2532,0,0,5.12923,0,0.0455414,0,0,0,0,0,0,-0.712247,0.0147858,-0.0147858,-0.0147858,0.395949,0.395949,0.395949,0.395949,0.00350505,-0.0151431,0.405519,-0.405519,-0.405519,-0.0147858,-0.0147858,-0.0147858,-0.0147858,0.0939959,0,0,0,0,0,0,0,0,0
2.08,0.125664,5.24752,0,0,5.12368,0,0.080847,0,0,0,0,0,0,-0.711798,0.0196447,-0.0196447,-0.0196447,0.396378,0.396378,0.396378,0.396378,0.00622135,-0.0201195,0.405959,-0.405959,-0.405959,-0.0196447,-0.0196447,-0.0196447,-0.0196447,0.125104,0,0,0,0,0,0,0,0,0
2.08,0.15708,5.24025,0,0,5.11658,0,0.126091,0,0,0,0,0,0,-0.711223,0.024444,-0.024444,-0.024444,0.396928,0.396928,0.396928,0.396928,0.00970101,-0.0250348,0.406522,-0.406522,-0.406522,-0.024444,-0.024444,-0.024444,-0.024444,0.156018,0,0,0,0,0,0,0,0,0
2.08,0.188496,5.23142,0,0,5.10796,0,0.181161,0,0,0,0,0,0,-0.710522,0.0291687,-0.0291687,-0.0291687,0.397598,0.397598,0.397598,0.397598,0.0139344,-0.0298737,0.407208,-0.407208,-0.407208,-0.0291687,-0.0291687,-0.0291687,-0.0291687,0.186683,0,0,0,0,0,0,0,0,0
2.08,0.219911,5.22107,0,0,5.09785,0,0.24592,0,0,0,0,0,0,-0.709698,0.0338039,-0.0338039,-0.0338039,0.398386,0.398386,0.398386,0.398386,0.0189097,-0.0346209,0.408015,-0.408015,-0.408015,-0.0338039,-0.0338039,-0.0338039,-0.0338039,0.217044,0,0,0,0,0,0,0,0,0
2.08,0.251327,5.20924,0,0,5.0863,0,0.320203,0,0,0,0,0,0,-0.708751,0.0383347,-0.0383347,-0.0383347,0.39929,0.39929,0.39929,0.39929,0.0246128,-0.0392613,0.408941,-0.408941,-0.408941,-0.0383347,-0.0383347,-0.0383347,-0.0383347,0.247043,0,0,0,0,0,0,0,0,0
2.08,0.282743,5.19598,0,0,5.07335,0,0.403821,0,0,0,0,0,0,-0.707684,0.0427463,-0.0427463,-0.0427463,0.40031,0.40031,0.40031,0.40031,0.0310272,-0.0437795,0.409985,-0.409985,-0.409985,-0.0427463,-0.0427463,-0.0427463,-0.0427463,0.276616,0,0,0,0,0,0,0,0,0
