i,j,r,theta,rho
4,26,2.32,0.816814,0
4,27,2.32,0.84823,0
4,28,2.32,0.879646,0
4,29,2.32,0.911062,0
4,30,2.32,0.942478,0
4,31,2.32,0.973894,0
4,32,2.32,1.00531,0
4,33,2.32,1.03673,0
4,34,2.32,1.06814,0
4,35,2.32,1.09956,0
4,36,2.32,1.13097,0
4,37,2.32,1.16239,0
4,38,2.32,1.19381,0
4,39,2.32,1.22522,0
4,40,2.32,1.25664,0
4,41,2.32,1.28805,0
4,42,2.32,1.31947,0
4,43,2.32,1.35088,0
4,44,2.32,1.3823,0
4,45,2.32,1.41372,0
4,46,2.32,1.44513,0
4,47,2.32,1.47655,0
4,48,2.32,1.50796,0
4,49,2.32,1.53938,0
4,50,2.32,1.5708,0
4,51,2.32,1.60221,0
4,52,2.32,1.63363,0
4,53,2.32,1.66504,0
4,54,2.32,1.69646,0
4,55,2.32,1.72788,0
4,56,2.32,1.75929,0
4,57,2.32,1.79071,0
4,58,2.32,1.82212,0
4,59,2.32,1.85354,0
4,60,2.32,1.88496,0
4,61,2.32,1.91637,0
4,62,2.32,1.94779,0
4,63,2.32,1.9792,0
4,64,2.32,2.01062,0
4,65,2.32,2.04204,0
4,66,2.32,2.07345,0
4,67,2.32,2.10487,0
4,68,2.32,2.13628,0
4,69,2.32,2.1677,0
4,70,2.32,2.19911,0
4,71,2.32,2.23053,0
4,72,2.32,2.26195,0
4,73,2.32,2.29336,0
4,74,2.32,2.32478,0
4,75,2.32,2.35619,0
4,76,2.32,2.38761,0
4,77,2.32,2.41903,0
4,78,2.32,2.45044,0
4,79,2.32,2.48186,0
4,80,2.32,2.51327,0
4,81,2.32,2.54469,0
4,82,2.32,2.57611,0
4,83,2.32,2.60752,0
4,84,2.32,2.63894,0
4,85,2.32,2.67035,0
4,86,2.32,2.70177,0
4,87,2.32,2.73319,0
4,88,2.32,2.7646,0
4,89,2.32,2.79602,0
4,90,2.32,2.82743,0
4,91,2.32,2.85885,0
4,92,2.32,2.89027,0
4,93,2.32,2.92168,0
4,94,2.32,2.9531,0
4,95,2.32,2.98451,0
4,96,2.32,3.01593,0
4,97,2.32,3.04734,0
4,98,2.32,3.07876,0
4,99,2.32,3.11018,0
4,100,2.32,3.14159,0
5,0,2.4,0,0
5,1,2.4,0.0314159,0
5,2,2.4,0.0628319,0
5,3,2.4,0.0942478,0
5,4,2.4,0.125664,0
5,5,2.4,0.15708,0
5,6,2.4,0.188496,0
5,7,2.4,0.219911,0
5,8,2.4,0.251327,0
5,9,2.4,0.282743,0
5,10,2.4,0.314159,0
5,11,2.4,0.345575,0
5,12,2.4,0.376991,0
5,13,2.4,0.408407,0
5,14,2.4,0.439823,0
5,15,2.4,0.471239,0
5,16,2.4,0.502655,0
5,17,2.4,0.534071,0
5,18,2.4,0.565487,0
5,19,2.4,0.596903,0
5,20,2.4,0.628319,0
5,21,2.4,0.659734,0
5,22,2.4,0.69115,0
5,23,2.4,0.722566,0
5,24,2.4,0.753982,0
5,25,2.4,0.785398,0
5,26,2.4,0.816814,0
5,27,2.4,0.84823,0
5,28,2.4,0.879646,0
5,29,2.4,0.911062,0
5,30,2.4,0.942478,0
5,31,2.4,0.973894,0
5,32,2.4,1.00531,0
5,33,2.4,1.03673,0
5,34,2.4,1.06814,0
5,35,2.4,1.09956,0
5,36,2.4,1.13097,0
5,37,2.4,1.16239,0
5,38,2.4,1.19381,0
5,39,2.4,1.22522,0
5,40,2.4,1.25664,0
5,41,2.4,1.28805,0
5,42,2.4,1.31947,0
5,43,2.4,1.35088,0
5,44,2.4,1.3823,0
5,45,2.4,1.41372,0
5,46,2.4,1.44513,0
5,47,2.4,1.47655,0
5,48,2.4,1.50796,0
5,49,2.4,1.53938,0
5,50,2.4,1.5708,0
5,51,2.4,1.60221,0
5,52,2.4,1.63363,0
5,53,2.4,1.66504,0
5,54,2.4,1.69646,0
5,55,2.4,1.72788,0
5,56,2.4,1.75929,0
5,57,2.4,1.79071,0
5,58,2.4,1.82212,0
5,59,2.4,1.85354,0
5,60,2.4,1.88496,0
5,61,2.4,1.91637,0
5,62,2.4,1.94779,0
5,63,2.4,1.9792,0
5,64,2.4,2.01062,0
5,65,2.4,2.04204,0
5,66,2.4,2.07345,0
5,67,2.4,2.10487,0
5,68,2.4,2.13628,0
5,69,2.4,2.1677,0
5,70,2.4,2.19911,0
5,71,2.4,2.23053,0
5,72,2.4,2.26195,0
5,73,2.4,2.29336,0
5,74,2.4,2.32478,0
5,75,2.4,2.35619,0
5,76,2.4,2.38761,0
5,77,2.4,2.41903,0
5,78,2.4,2.45044,0
5,79,2.4,2.48186,0
5,80,2.4,2.51327,0
5,81,2.4,2.54469,0
5,82,2.4,2.57611,0
5,83,2.4,2.60752,0
5,84,2.4,2.63894,0
5,85,2.4,2.67035,0
5,86,2.4,2.70177,0
5,87,2.4,2.73319,0
5,88,2.4,2.7646,0
5,89,2.4,2.79602,0
5,90,2.4,2.82743,0
5,91,2.4,2.85885,0
5,92,2.4,2.89027,0
5,93,2.4,2.92168,0
5,94,2.4,2.9531,0
5,95,2.4,2.98451,0
5,96,2.4,3.01593,0
5,97,2.4,3.04734,0
5,98,2.4,3.07876,0
5,99,2.4,3.11018,0
5,100,2.4,3.14159,0
6,0,2.48,0,0
6,1,2.48,0.0314159,0
6,2,2.48,0.0628319,0
6,3,2.48,0.0942478,0
6,4,2.48,0.125664,0
6,5,2.48,0.15708,0
6,6,2.48,0.188496,0
6,7,2.48,0.219911,0
6,8,2.48,0.251327,0
6,9,2.48,0.282743,0
6,10,2.48,0.314159,0
6,11,2.48,0.345575,0
6,12,2.48,0.376991,0
6,13,2.48,0.408407,0
6,14,2.48,0.439823,0
6,15,2.48,0.471239,0
6,16,2.48,0.502655,0
6,17,2.48,0.534071,0
6,18,2.48,0.565487,0
6,19,2.48,0.596903,0
6,20,2.48,0.628319,0
6,21,2.48,0.659734,0
6,22,2.48,0.69115,0
6,23,2.48,0.722566,0
6,24,2.48,0.753982,0
6,25,2.48,0.785398,0
6,26,2.48,0.816814,0
6,27,2.48,0.84823,0
6,28,2.48,0.879646,0
6,29,2.48,0.911062,0
6,30,2.48,0.942478,0
6,31,2.48,0.973894,0
6,32,2.48,1.00531,0
6,33,2.48,1.03673,0
6,34,2.48,1.06814,0
6,35,2.48,1.09956,0
6,36,2.48,1.13097,0
6,37,2.48,1.16239,0
6,38,2.48,1.19381,0
6,39,2.48,1.22522,0
6,40,2.48,1.25664,0
6,41,2.48,1.28805,0
6,42,2.48,1.31947,0
6,43,2.48,1.35088,0
6,44,2.48,1.3823,0
6,45,2.48,1.41372,0
6,46,2.48,1.44513,0
6,47,2.48,1.47655,0
6,48,2.48,1.50796,0
6,49,2.48,1.53938,0
6,50,2.48,1.5708,0
6,51,2.48,1.60221,0
6,52,2.48,1.63363,0
6,53,2.48,1.66504,0
6,54,2.48,1.69646,0
6,55,2.48,1.72788,0
6,56,2.48,1.75929,0
6,57,2.48,1.79071,0
6,58,2.48,1.82212,0
6,59,2.48,1.85354,0
6,60,2.48,1.88496,0
6,61,2.48,1.91637,0
6,62,2.48,1.94779,0
6,63,2.48,1.9792,0
6,64,2.48,2.01062,0
6,65,2.48,2.04204,0
6,66,2.48,2.07345,0
6,67,2.48,2.10487,0
6,68,2.48,2.13628,0
6,69,2.48,2.1677,0
6,70,2.48,2.19911,0
6,71,2.48,2.23053,0
6,72,2.48,2.26195,0
6,73,2.48,2.29336,0
6,74,2.48,2.32478,0
6,75,2.48,2.35619,0
6,76,2.48,2.38761,0
6,77,2.48,2.41903,0
6,78,2.48,2.45044,0
6,79,2.48,2.48186,0
6,80,2.48,2.51327,0
6,81,2.48,2.54469,0
6,82,2.48,2.57611,0
6,83,2.48,2.60752,0
6,84,2.48,2.63894,0
6,85,2.48,2.67035,0
6,86,2.48,2.70177,0
6,87,2.48,2.73319,0
6,88,2.48,2.7646,0
6,89,2.48,2.79602,0
6,90,2.48,2.82743,0
6,91,2.48,2.85885,0
6,92,2.48,2.89027,0
6,93,2.48,2.92168,0
6,94,2.48,2.9531,0
6,95,2.48,2.98451,0
6,96,2.48,3.01593,0
6,97,2.48,3.04734,0
6,98,2.48,3.07876,0
6,99,2.48,3.11018,0
6,100,2.48,3.14159,0
7,0,2.56,0,0
7,1,2.56,0.0314159,0
7,2,2.56,0.0628319,0
7,3,2.56,0.0942478,0
7,4,2.56,0.125664,0
7,5,2.56,0.15708,0
7,6,2.56,0.188496,0
7,7,2.56,0.219911,0
7,8,2.56,0.251327,0
7,9,2.56,0.282743,0
7,10,2.56,0.314159,0
7,11,2.56,0.345575,0
7,12,2.56,0.376991,0
7,13,2.56,0.408407,0
7,14,2.56,0.439823,0
7,15,2.56,0.471239,0
7,16,2.56,0.502655,0
7,17,2.56,0.534071,0
