x,z,rho,p,vx,vy,vz
-1.8,2.1,0.587543,0.348866,-0.407451,0.003311,-0.00943145
-1.8,2.2,0.590757,0.351724,-0.409573,0.00332831,-0.0090243
-1.8,2.3,0.593842,0.354477,-0.41163,0.00334509,-0.00861492
-1.8,2.4,0.596795,0.35712,-0.413619,0.00336131,-0.00820354
-1.8,2.5,0.599613,0.359652,-0.415535,0.00337695,-0.00779035
-1.8,2.6,0.602296,0.362069,-0.417375,0.00339197,-0.00737556
-1.8,2.7,0.604841,0.364368,-0.419135,0.00340635,-0.00695935
-1.8,2.8,0.607246,0.366547,-0.420813,0.00342005,-0.00654189
-1.8,2.9,0.609509,0.368603,-0.422405,0.00343306,-0.00612335
-1.8,3,0.611629,0.370533,-0.423907,0.00344533,-0.00570388
-1.8,3.1,0.613604,0.372336,-0.425316,0.00345686,-0.00528363
-1.8,3.2,0.615433,0.374008,-0.42663,0.0034676,-0.00486271
-1.8,3.3,0.617114,0.375549,-0.427845,0.00347754,-0.00444124
-1.8,3.4,0.618646,0.376955,-0.428958,0.00348666,-0.00401933
-1.8,3.5,0.620028,0.378226,-0.429968,0.00349494,-0.00359705
-1.8,3.6,0.62126,0.37936,-0.430872,0.00350235,-0.0031745
-1.8,3.7,0.622339,0.380355,-0.431668,0.00350888,-0.00275172
-1.8,3.8,0.623266,0.38121,-0.432353,0.00351451,-0.00232878
-1.8,3.9,0.624039,0.381924,-0.432927,0.00351924,-0.00190572
-1.8,4,0.624659,0.382497,-0.433388,0.00352304,-0.00148256
-1.8,4.1,0.625124,0.382927,-0.433734,0.00352592,-0.00105935
-1.8,4.2,0.625434,0.383214,-0.433966,0.00352785,-0.000636099
-1.8,4.3,0.625589,0.383357,-0.434082,0.00352885,-0.000212824
-1.8,4.4,0.625589,0.383357,-0.434082,0.0035289,0.000210458
-1.8,4.5,0.625434,0.383214,-0.433966,0.00352801,0.000633735
-1.8,4.6,0.625124,0.382927,-0.433734,0.00352618,0.00105699
-1.8,4.7,0.624659,0.382497,-0.433388,0.00352341,0.00148021
-1.8,4.8,0.624039,0.381924,-0.432927,0.00351971,0.00190337
-1.8,4.9,0.623266,0.38121,-0.432354,0.00351509,0.00232644
-1.8,5,0.622339,0.380355,-0.431668,0.00350956,0.00274939
-1.8,5.1,0.62126,0.37936,-0.430873,0.00350313,0.00317218
-1.8,5.2,0.620028,0.378226,-0.429969,0.00349582,0.00359475
-1.8,5.3,0.618646,0.376955,-0.428959,0.00348764,0.00401703
-1.8,5.4,0.617114,0.375549,-0.427845,0.00347862,0.00443896
-1.8,5.5,0.615433,0.374008,-0.426631,0.00346877,0.00486044
-1.8,5.6,0.613604,0.372336,-0.425317,0.00345812,0.00528138
-1.8,5.7,0.611629,0.370533,-0.423908,0.00344669,0.00570166
-1.8,5.8,0.609509,0.368603,-0.422406,0.00343451,0.00612114
-1.8,5.9,0.607246,0.366547,-0.420814,0.00342159,0.0065397
-1.8,6,0.604841,0.364368,-0.419137,0.00340798,0.00695718
-1.8,6.1,0.602296,0.362069,-0.417376,0.00339368,0.00737342
-1.8,6.2,0.599613,0.359652,-0.415536,0.00337874,0.00778823
-1.8,6.3,0.596795,0.35712,-0.41362,0.00336318,0.00820144
-1.8,6.4,0.593842,0.354477,-0.411632,0.00334704,0.00861285
-1.8,6.5,0.590757,0.351724,-0.409575,0.00333033,0.00902225
-1.8,6.6,0.587543,0.348866,-0.407452,0.00331309,0.00942943
-1.8,6.7,0.584201,0.345906,-0.405269,0.00329535,0.00983418
-1.8,6.8,0.580734,0.342846,-0.403028,0.00327715,0.0102363
-1.8,6.9,0.577145,0.339691,-0.400732,0.00325849,0.0106355
-1.8,7,0.573435,0.336445,-0.398386,0.00323943,0.0110316
-1.8,7.1,0.569608,0.333109,-0.395993,0.00321998,0.0114244
-1.8,7.2,0.565667,0.329689,-0.393556,0.00320018,0.0118136
-1.8,7.3,0.561613,0.326189,-0.391078,0.00318005,0.012199
-1.8,7.4,0.55745,0.32261,-0.388564,0.00315962,0.0125804
-1.8,7.5,0.553181,0.318959,-0.386016,0.00313891,0.0129575
-1.8,7.6,0.548808,0.315238,-0.383438,0.00311796,0.0133302
-1.8,7.7,0.544335,0.311451,-0.380832,0.00309678,0.0136982
-1.8,7.8,0.539765,0.307602,-0.378201,0.0030754,0.0140614
-1.8,7.9,0.5351,0.303696,-0.375549,0.00305384,0.0144195
-1.8,8,0.530344,0.299735,-0.372879,0.00303213,0.0147723
-1.8,8.1,0.525499,0.295725,-0.370192,0.00301029,0.0151197
-1.8,8.2,0.52057,0.291668,-0.367491,0.00298834,0.0154615
-1.8,8.3,0.51556,0.287569,-0.364779,0.0029663,0.0157976
-1.8,8.4,0.510471,0.283431,-0.362058,0.00294418,0.0161277
-1.8,8.5,0.505306,0.279259,-0.359331,0.00292201,0.0164517
-1.8,8.6,0.50007,0.275056,-0.356599,0.00289981,0.0167696
-1.8,8.7,0.494766,0.270826,-0.353865,0.00287758,0.0170811
-1.8,8.8,0.489396,0.266573,-0.351131,0.00285535,0.0173863
-1.8,8.9,0.483965,0.262301,-0.348398,0.00283314,0.0176849
-1.8,9,0.478475,0.258012,-0.345668,0.00281094,0.0179769
-1.8,9.1,0.472931,0.253711,-0.342942,0.00278879,0.0182622
-1.8,9.2,0.467334,0.249401,-0.340223,0.00276668,0.0185408
-1.8,9.3,0.46169,0.245085,-0.337512,0.00274464,0.0188126
-1.8,9.4,0.456,0.240768,-0.33481,0.00272267,0.0190775
-1.8,9.5,0.450269,0.236452,-0.332118,0.00270079,0.0193356
-1.8,9.6,0.444499,0.23214,-0.329438,0.002679,0.0195867
-1.8,9.7,0.438695,0.227835,-0.32677,0.00265731,0.019831
-1.8,9.8,0.432859,0.223541,-0.324116,0.00263574,0.0200683
-1.8,9.9,0.426995,0.219261,-0.321477,0.00261428,0.0202988
-1.8,10,0.421106,0.214997,-0.318854,0.00259295,0.0205223
-1.8,10.1,0.415195,0.210752,-0.316247,0.00257175,0.020739
-1.8,10.2,0.409266,0.206529,-0.313657,0.00255072,0.0209489
-1.8,10.3,0.403321,0.20233,-0.311085,0.00252937,0.0211505
-1.8,10.4,0.397364,0.198158,-0.30853,0.00251007,0.0213513
-1.8,10.5,0.391398,0.194015,-0.305997,0.00249081,0.021479
-1.8,10.6,0.385426,0.189904,-0.30345,0.00246723,0.0108995
-1.8,10.7,0.385426,0.189904,-0.280548,0.00228088,0
-1.7,-2,0.391301,0.193948,-0.278202,0.00229919,0
-1.7,-1.9,0.391301,0.193948,-0.300853,0.00248808,-0.0109972
-1.7,-1.8,0.397364,0.198158,-0.303408,0.00251076,-0.0216686
-1.7,-1.7,0.403421,0.2024,-0.30595,0.00253306,-0.0215376
-1.7,-1.6,0.409469,0.206673,-0.30852,0.00255567,-0.0213366
-1.7,-1.5,0.415504,0.210973,-0.311111,0.00257684,-0.0211337
-1.7,-1.4,0.421524,0.215298,-0.31372,0.00259857,-0.0209224
-1.7,-1.3,0.427525,0.219646,-0.316348,0.00262043,-0.0207043
-1.7,-1.2,0.433504,0.224014,-0.318993,0.00264244,-0.0204791
-1.7,-1.1,0.439457,0.228399,-0.321655,0.00266459,-0.0202469
