x,z,Gamma000,Gamma001,Gamma002
-239.874,30.2362,0.0264748,-0.00834737,-0.0107047
-239.874,34.2677,0.0259647,-0.00829492,-0.0119936
-239.874,38.2992,0.0253982,-0.00823639,-0.0132367
-239.874,42.3307,0.0247789,-0.00817191,-0.0144302
-239.874,46.3622,0.0241107,-0.00810165,-0.0155705
-239.874,50.3937,0.0233976,-0.00802579,-0.0166548
-239.874,54.4252,0.022644,-0.00794453,-0.0176803
-239.874,58.4567,0.0218541,-0.00785808,-0.0186452
-239.874,62.4882,0.0210324,-0.00776666,-0.0195476
-239.874,66.5197,0.0201833,-0.00767052,-0.0203865
-239.874,70.5512,0.0193112,-0.00756991,-0.021161
-239.874,74.5827,0.0184205,-0.00746511,-0.021871
-239.874,78.6142,0.0175154,-0.00735638,-0.0225163
-239.874,82.6457,0.0166002,-0.00724403,-0.0230975
-239.874,86.6772,0.0156786,-0.00712833,-0.0236154
-239.874,90.7087,0.0147546,-0.00700959,-0.0240711
-239.874,94.7402,0.0138317,-0.00688812,-0.024466
-239.874,98.7717,0.0129133,-0.00676422,-0.0248017
-239.874,102.803,0.0120025,-0.0066382,-0.0250801
-239.874,106.835,0.0111022,-0.00651035,-0.0253033
-239.874,110.866,0.0102151,-0.00638099,-0.0254735
-239.874,114.898,0.00934355,-0.0062504,-0.0255931
