x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-251.969,106.835,0.99554,0,0,0,-1.58732e-10,-0,-0,-0
-251.969,110.866,0.995572,0,0,0,-1.55332e-10,-0,-0,-0
-251.969,114.898,0.995604,0,0,0,-1.52016e-10,-0,-0,-0
-251.969,118.929,0.995635,0,0,0,-1.48783e-10,-0,-0,-0
-251.969,122.961,0.995666,0,0,0,-1.45631e-10,-0,-0,-0
-251.969,126.992,0.995697,0,0,0,-1.42556e-10,-0,-0,-0
-251.969,131.024,0.995728,0,0,0,-1.39558e-10,-0,-0,-0
-251.969,135.055,0.995758,0,0,0,-1.36635e-10,-0,-0,-0
-251.969,139.087,0.995788,0,0,0,-1.33783e-10,-0,-0,-0
-251.969,143.118,0.995817,0,0,0,-1.31002e-10,-0,-0,-0
-251.969,147.15,0.995846,0,0,0,-1.2829e-10,-0,-0,-0
-251.969,151.181,0.995875,0,0,0,-1.25645e-10,-0,-0,-0
-251.969,155.213,0.995904,0,0,0,-1.23064e-10,-0,-0,-0
-251.969,159.244,0.995932,0,0,0,-1.20547e-10,-0,-0,-0
-251.969,163.276,0.99596,0,0,0,-1.18092e-10,-0,-0,-0
-251.969,167.307,0.995987,0,0,0,-1.15696e-10,-0,-0,-0
-251.969,171.339,0.996015,0,0,0,-1.13359e-10,-0,-0,-0
-251.969,175.37,0.996042,0,0,0,-1.11079e-10,-0,-0,-0
-251.969,179.402,0.996068,0,0,0,-1.08855e-10,-0,-0,-0
-251.969,183.433,0.996095,0,0,0,-1.06684e-10,-0,-0,-0
-251.969,187.465,0.996121,0,0,0,-1.04565e-10,-0,-0,-0
-251.969,191.496,0.996147,0,0,0,-1.02498e-10,-0,-0,-0
-251.969,195.528,0.996172,0,0,0,-1.0048e-10,-0,-0,-0
-251.969,199.559,0.996198,0,0,0,-9.85109e-11,-0,-0,-0
-251.969,203.591,0.996223,0,0,0,-9.65886e-11,-0,-0,-0
-251.969,207.622,0.996247,0,0,0,-9.47121e-11,-0,-0,-0
-251.969,211.654,0.996272,0,0,0,-9.28802e-11,-0,-0,-0
-251.969,215.685,0.996296,0,0,0,-9.10917e-11,-0,-0,-0
-251.969,219.717,0.99632,0,0,0,-8.93454e-11,-0,-0,-0
-251.969,223.748,0.996343,0,0,0,-8.76403e-11,-0,-0,-0
-251.969,227.78,0.996367,0,0,0,-8.59751e-11,-0,-0,-0
-251.969,231.811,0.99639,0,0,0,-8.43489e-11,-0,-0,-0
-251.969,235.843,0.996413,0,0,0,-8.27607e-11,-0,-0,-0
-251.969,239.874,0.996435,0,0,0,-8.12093e-11,-0,-0,-0
-251.969,243.906,0.996458,0,0,0,-7.9296e-10,-0,-0,-0
-251.969,247.937,0.99648,0,0,0,4.20178e-09,-0,-0,-0
-251.969,251.969,0.996502,0,0,0,9.19442e-09,-0,-0,-0
-251.969,256,0.996502,0,0,0,-0,-0,-0,-0
-247.937,-256,0.992349,0,0,0,-0,-0,-0,-0
-247.937,-251.969,0.992349,0,0,0,-1.3186e-09,-0,-0,-0
-247.937,-247.937,0.992353,0,0,0,-1.04979e-09,-0,-0,-0
-247.937,-243.906,0.99236,0,0,0,-4.34918e-10,-0,-0,-0
-247.937,-239.874,0.992368,0,0,0,-5.20897e-10,-0,-0,-0
-247.937,-235.843,0.992377,0,0,0,-5.18938e-10,-0,-0,-0
-247.937,-231.811,0.992389,0,0,0,-5.16639e-10,-0,-0,-0
-247.937,-227.78,0.992402,0,0,0,-5.14006e-10,-0,-0,-0
-247.937,-223.748,0.992417,0,0,0,-5.11049e-10,-0,-0,-0
-247.937,-219.717,0.992434,0,0,0,-5.07777e-10,-0,-0,-0
-247.937,-215.685,0.992452,0,0,0,-5.04199e-10,-0,-0,-0
-247.937,-211.654,0.992472,0,0,0,-5.00328e-10,-0,-0,-0
-247.937,-207.622,0.992493,0,0,0,-4.96176e-10,-0,-0,-0
-247.937,-203.591,0.992516,0,0,0,-4.91753e-10,-0,-0,-0
-247.937,-199.559,0.99254,0,0,0,-4.87075e-10,-0,-0,-0
-247.937,-195.528,0.992566,0,0,0,-4.82154e-10,-0,-0,-0
-247.937,-191.496,0.992593,0,0,0,-4.77004e-10,-0,-0,-0
-247.937,-187.465,0.992621,0,0,0,-4.7164e-10,-0,-0,-0
-247.937,-183.433,0.992651,0,0,0,-4.66076e-10,-0,-0,-0
-247.937,-179.402,0.992682,0,0,0,-4.60327e-10,-0,-0,-0
-247.937,-175.37,0.992714,0,0,0,-4.54408e-10,-0,-0,-0
-247.937,-171.339,0.992747,0,0,0,-4.48333e-10,-0,-0,-0
-247.937,-167.307,0.992781,0,0,0,-4.42116e-10,-0,-0,-0
-247.937,-163.276,0.992817,0,0,0,-4.35774e-10,-0,-0,-0
-247.937,-159.244,0.992853,0,0,0,-4.29319e-10,-0,-0,-0
-247.937,-155.213,0.99289,0,0,0,-4.22766e-10,-0,-0,-0
-247.937,-151.181,0.992928,0,0,0,-4.16129e-10,-0,-0,-0
-247.937,-147.15,0.992966,0,0,0,-4.09421e-10,-0,-0,-0
-247.937,-143.118,0.993006,0,0,0,-4.02655e-10,-0,-0,-0
-247.937,-139.087,0.993046,0,0,0,-3.95844e-10,-0,-0,-0
-247.937,-135.055,0.993087,0,0,0,-3.89e-10,-0,-0,-0
-247.937,-131.024,0.993128,0,0,0,-3.82134e-10,-0,-0,-0
-247.937,-126.992,0.99317,0,0,0,-3.75257e-10,-0,-0,-0
-247.937,-122.961,0.993213,0,0,0,-3.6838e-10,-0,-0,-0
-247.937,-118.929,0.993256,0,0,0,-3.61513e-10,-0,-0,-0
-247.937,-114.898,0.993299,0,0,0,-3.54665e-10,-0,-0,-0
-247.937,-110.866,0.993342,0,0,0,-3.47845e-10,-0,-0,-0
-247.937,-106.835,0.993386,0,0,0,-3.41062e-10,-0,-0,-0
-247.937,-102.803,0.993431,0,0,0,-3.34322e-10,-0,-0,-0
-247.937,-98.7717,0.993475,0,0,0,-3.27634e-10,-0,-0,-0
-247.937,-94.7402,0.99352,0,0,0,-3.21004e-10,-0,-0,-0
-247.937,-90.7087,0.993565,0,0,0,-3.14437e-10,-0,-0,-0
-247.937,-86.6772,0.99361,0,0,0,-3.07941e-10,-0,-0,-0
-247.937,-82.6457,0.993655,0,0,0,-3.01519e-10,-0,-0,-0
