x,z,T_00,T_01,T_02,T_10,T_11,T_12,T_20,T_21,T_22
25,118,5.38767e-05,2.59125e-06,-6.14629e-06,2.59125e-06,4.73011e-05,4.75194e-06,-6.14629e-06,4.75194e-06,6.10228e-05
25,119,4.30854e-05,2.08093e-06,-4.83586e-06,2.08093e-06,3.79847e-05,3.75537e-06,-4.83586e-06,3.75537e-06,4.90158e-05
25,120,3.43253e-05,1.66368e-06,-3.78897e-06,1.66368e-06,3.03835e-05,2.95642e-06,-3.78897e-06,2.95642e-06,3.92127e-05
25,121,2.72428e-05,1.32421e-06,-2.9564e-06,1.32421e-06,2.42079e-05,2.31853e-06,-2.9564e-06,2.31853e-06,3.1244e-05
25,122,2.15397e-05,1.04937e-06,-2.29746e-06,1.04937e-06,1.92118e-05,1.81136e-06,-2.29746e-06,1.81136e-06,2.47937e-05
25,123,1.69658e-05,8.28088e-07,-1.77801e-06,8.28088e-07,1.51868e-05,1.40892e-06,-1.77801e-06,1.40892e-06,1.95985e-05
25,124,1.33113e-05,6.5051e-07,-1.36911e-06,6.5051e-07,1.19578e-05,1.09266e-06,-1.36911e-06,1.09266e-06,1.54312e-05
25,125,1.04063e-05,5.08507e-07,-1.05167e-06,5.08507e-07,9.37836e-06,8.44854e-07,-1.05167e-06,8.44854e-07,1.20953e-05
25,126,8.10411e-06,3.96097e-07,-8.045e-07,3.96097e-07,7.32637e-06,6.49511e-07,-8.045e-07,6.49511e-07,9.44531e-06
25,127,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
26,1,9.36878e-06,4.37814e-07,2.04551e-06,4.37814e-07,8.49361e-06,3.6149e-07,2.04551e-06,3.6149e-07,1.10115e-05
26,2,1.20295e-05,5.62521e-07,2.65999e-06,5.62521e-07,1.08721e-05,4.66186e-07,2.65999e-06,4.66186e-07,1.40997e-05
26,3,1.53882e-05,7.19818e-07,3.45001e-06,7.19818e-07,1.38624e-05,5.98932e-07,3.45001e-06,5.98932e-07,1.79893e-05
26,4,1.96111e-05,9.1535e-07,4.45438e-06,9.1535e-07,1.76054e-05,7.58075e-07,4.45438e-06,7.58075e-07,2.28538e-05
26,5,2.48965e-05,1.15999e-06,5.72596e-06,1.15999e-06,2.2271e-05,9.60966e-07,5.72596e-06,9.60966e-07,2.89138e-05
26,6,3.14873e-05,1.46342e-06,7.33487e-06,1.46342e-06,2.80624e-05,1.21273e-06,7.33487e-06,1.21273e-06,3.64409e-05
26,7,3.96716e-05,1.83812e-06,9.35765e-06,1.83812e-06,3.52208e-05,1.52428e-06,9.35765e-06,1.52428e-06,4.57407e-05
26,8,4.97942e-05,2.29846e-06,1.18911e-05,2.29846e-06,4.40316e-05,1.90798e-06,1.18911e-05,1.90798e-06,5.71832e-05
26,9,6.22639e-05,2.86119e-06,1.50505e-05,2.86119e-06,5.48306e-05,2.37846e-06,1.50505e-05,2.37846e-06,7.12004e-05
26,10,7.75629e-05,3.54555e-06,1.89734e-05,3.54555e-06,6.80102e-05,2.95276e-06,1.89734e-05,2.95276e-06,8.82964e-05
26,11,9.62581e-05,4.37348e-06,2.38236e-05,4.37348e-06,8.40275e-05,3.65071e-06,2.38236e-05,3.65071e-06,0.000109056
26,12,0.000119012,5.36978e-06,2.97938e-05,5.36978e-06,0.000103411,4.49517e-06,2.97938e-05,4.49517e-06,0.000134152
26,13,0.000146593,6.56218e-06,3.71108e-05,6.56218e-06,0.000126767,5.51239e-06,3.71108e-05,5.51239e-06,0.000164357
26,14,0.000179894,7.98137e-06,4.60386e-05,7.98137e-06,0.000154793,6.73235e-06,4.60386e-05,6.73235e-06,0.000200548
26,15,0.000219938,9.66088e-06,5.68834e-05,9.66088e-06,0.000188277,8.18907e-06,5.68834e-05,8.18907e-06,0.000243717
26,16,0.000267898,1.16369e-05,6.99979e-05,1.16369e-05,0.000228112,9.92098e-06,6.99979e-05,9.92098e-06,0.000294979
26,17,0.000325109,1.39477e-05,8.57854e-05,1.39477e-05,0.000275301,1.19713e-05,8.57854e-05,1.19713e-05,0.000355574
26,18,0.000393085,1.66335e-05,0.000104704,1.66335e-05,0.000330963,1.43882e-05,0.000104704,1.43882e-05,0.000426877
26,19,0.000473526,1.97349e-05,0.00012727,1.97349e-05,0.000396337,1.72255e-05,0.00012727,1.72255e-05,0.000510395
26,20,0.000568339,2.32926e-05,0.000154062,2.32926e-05,0.000472791,2.05426e-05,0.000154062,2.05426e-05,0.000607772
26,21,0.000679647,2.73453e-05,0.00018572,2.73453e-05,0.000561817,2.44055e-05,0.00018572,2.44055e-05,0.000720781
26,22,0.000809797,3.19283e-05,0.000222951,3.19283e-05,0.000665039,2.88863e-05,0.000222951,2.88863e-05,0.000851321
26,23,0.000961372,3.70714e-05,0.000266522,3.70714e-05,0.000784206,3.40646e-05,0.000266522,3.40646e-05,0.0010014
