i,j,r,theta,Gamma3_0_0_0,Gamma3_0_0_1,Gamma3_0_0_2,Gamma3_0_1_0,Gamma3_0_1_1,Gamma3_0_1_2,Gamma3_0_2_0,Gamma3_0_2_1,Gamma3_0_2_2,Gamma3_1_0_0,Gamma3_1_0_1,Gamma3_1_0_2,Gamma3_1_1_0,Gamma3_1_1_1,Gamma3_1_1_2,Gamma3_1_2_0,Gamma3_1_2_1,Gamma3_1_2_2,Gamma3_2_0_0,Gamma3_2_0_1,Gamma3_2_0_2,Gamma3_2_1_0,Gamma3_2_1_1,Gamma3_2_1_2,Gamma3_2_2_0,Gamma3_2_2_1,Gamma3_2_2_2
0,88,2,2.7646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89,2,2.79602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,2,2.82743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,91,2,2.85885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,2,2.89027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,93,2,2.92168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,94,2,2.9531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,95,2,2.98451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,96,2,3.01593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,97,2,3.04734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,98,2,3.07876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99,2,3.11018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,2,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2.08,0.0314159,-0.712762,0.00494848,-0.00494848,-0.00494848,0.395458,0.395458,0.395458,0.395458,0.000390153,-0.00506809,0.405016,-0.405016,-0.405016,-0.00494848,-0.00494848,-0.00494848,-0.00494848,0.0313953,0,0,0,0,0,0,0,0,0
1,2,2.08,0.0628319,-0.712569,0.00988204,-0.00988204,-0.00988204,0.395642,0.395642,0.395642,0.395642,0.00155956,-0.0101209,0.405205,-0.405205,-0.405205,-0.00988204,-0.00988204,-0.00988204,-0.00988204,0.0627432,0,0,0,0,0,0,0,0,0
1,3,2.08,0.0942478,-0.712247,0.0147858,-0.0147858,-0.0147858,0.395949,0.395949,0.395949,0.395949,0.00350505,-0.0151431,0.405519,-0.405519,-0.405519,-0.0147858,-0.0147858,-0.0147858,-0.0147858,0.0939959,0,0,0,0,0,0,0,0,0
1,4,2.08,0.125664,-0.711798,0.0196447,-0.0196447,-0.0196447,0.396378,0.396378,0.396378,0.396378,0.00622135,-0.0201195,0.405959,-0.405959,-0.405959,-0.0196447,-0.0196447,-0.0196447,-0.0196447,0.125104,0,0,0,0,0,0,0,0,0
1,5,2.08,0.15708,-0.711223,0.024444,-0.024444,-0.024444,0.396928,0.396928,0.396928,0.396928,0.00970101,-0.0250348,0.406522,-0.406522,-0.406522,-0.024444,-0.024444,-0.024444,-0.024444,0.156018,0,0,0,0,0,0,0,0,0
1,6,2.08,0.188496,-0.710522,0.0291687,-0.0291687,-0.0291687,0.397598,0.397598,0.397598,0.397598,0.0139344,-0.0298737,0.407208,-0.407208,-0.407208,-0.0291687,-0.0291687,-0.0291687,-0.0291687,0.186683,0,0,0,0,0,0,0,0,0
1,7,2.08,0.219911,-0.709698,0.0338039,-0.0338039,-0.0338039,0.398386,0.398386,0.398386,0.398386,0.0189097,-0.0346209,0.408015,-0.408015,-0.408015,-0.0338039,-0.0338039,-0.0338039,-0.0338039,0.217044,0,0,0,0,0,0,0,0,0
1,8,2.08,0.251327,-0.708751,0.0383347,-0.0383347,-0.0383347,0.39929,0.39929,0.39929,0.39929,0.0246128,-0.0392613,0.408941,-0.408941,-0.408941,-0.0383347,-0.0383347,-0.0383347,-0.0383347,0.247043,0,0,0,0,0,0,0,0,0
1,9,2.08,0.282743,-0.707684,0.0427463,-0.0427463,-0.0427463,0.40031,0.40031,0.40031,0.40031,0.0310272,-0.0437795,0.409985,-0.409985,-0.409985,-0.0427463,-0.0427463,-0.0427463,-0.0427463,0.276616,0,0,0,0,0,0,0,0,0
1,10,2.08,0.314159,-0.7065,0.0470239,-0.0470239,-0.0470239,0.401441,0.401441,0.401441,0.401441,0.0381341,-0.0481605,0.411144,-0.411144,-0.411144,-0.0470239,-0.0470239,-0.0470239,-0.0470239,0.305697,0,0,0,0,0,0,0,0,0
1,11,2.08,0.345575,-0.705201,0.0511528,-0.0511528,-0.0511528,0.402682,0.402682,0.402682,0.402682,0.0459122,-0.0523892,0.412415,-0.412415,-0.412415,-0.0511528,-0.0511528,-0.0511528,-0.0511528,0.334213,0,0,0,0,0,0,0,0,0
1,12,2.08,0.376991,-0.703791,0.0551183,-0.0551183,-0.0551183,0.40403,0.40403,0.40403,0.40403,0.0543377,-0.0564505,0.413796,-0.413796,-0.413796,-0.0551183,-0.0551183,-0.0551183,-0.0551183,0.362088,0,0,0,0,0,0,0,0,0
1,13,2.08,0.408407,-0.702272,0.0589058,-0.0589058,-0.0589058,0.405482,0.405482,0.405482,0.405482,0.0633845,-0.0603296,0.415282,-0.415282,-0.415282,-0.0589058,-0.0589058,-0.0589058,-0.0589058,0.38924,0,0,0,0,0,0,0,0,0
1,14,2.08,0.439823,-0.700649,0.0625011,-0.0625011,-0.0625011,0.407033,0.407033,0.407033,0.407033,0.0730235,-0.0640117,0.416871,-0.416871,-0.416871,-0.0625011,-0.0625011,-0.0625011,-0.0625011,0.41558,0,0,0,0,0,0,0,0,0
1,15,2.08,0.471239,-0.698926,0.0658898,-0.0658898,-0.0658898,0.408679,0.408679,0.408679,0.408679,0.0832233,-0.0674824,0.418557,-0.418557,-0.418557,-0.0658898,-0.0658898,-0.0658898,-0.0658898,0.441016,0,0,0,0,0,0,0,0,0
