x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-159.244,-167.307,5.83403,-6.65362e-07,1.59164e-05,-4.44054e-07,5.83401,-3.19153e-07,-2.45225e-06,-3.19152e-07,5.83403
-159.244,-163.276,5.94066,-6.76347e-07,1.55638e-05,-4.5635e-07,5.94064,-3.19235e-07,-2.2561e-06,-3.19235e-07,5.94066
-159.244,-159.244,6.05021,-6.86491e-07,1.51974e-05,-4.68017e-07,6.05019,-3.1799e-07,-2.06217e-06,-3.17989e-07,6.0502
-159.244,-155.213,6.16268,-6.95636e-07,1.48175e-05,-4.78902e-07,6.16266,-3.15281e-07,-1.87116e-06,-3.1528e-07,6.16267
-159.244,-151.181,6.2781,-7.03613e-07,1.44244e-05,-4.88838e-07,6.27808,-3.10974e-07,-1.68378e-06,-3.10973e-07,6.27809
-159.244,-147.15,6.39646,-7.10239e-07,1.40187e-05,-4.97644e-07,6.39644,-3.04936e-07,-1.50075e-06,-3.04935e-07,6.39645
-159.244,-143.118,6.51776,-7.15321e-07,1.36009e-05,-5.0513e-07,6.51774,-2.97037e-07,-1.32276e-06,-2.97036e-07,6.51775
-159.244,-139.087,6.64197,-7.18659e-07,1.31716e-05,-5.11093e-07,6.64195,-2.87156e-07,-1.15051e-06,-2.87155e-07,6.64196
-159.244,-135.055,6.76905,-7.20044e-07,1.27317e-05,-5.15323e-07,6.76903,-2.75183e-07,-9.84639e-07,-2.75182e-07,6.76904
-159.244,-131.024,6.89893,-7.19262e-07,1.22821e-05,-5.17604e-07,6.89891,-2.61023e-07,-8.25755e-07,-2.61022e-07,6.89892
-159.244,-126.992,7.03154,-7.16101e-07,1.18239e-05,-5.17717e-07,7.03151,-2.44601e-07,-6.74405e-07,-2.446e-07,7.03153
-159.244,-122.961,7.16676,-7.1035e-07,1.13582e-05,-5.15446e-07,7.16674,-2.25866e-07,-5.31061e-07,-2.25865e-07,7.16675
-159.244,-118.929,7.30447,-7.01809e-07,1.08865e-05,-5.10581e-07,7.30444,-2.04796e-07,-3.96112e-07,-2.04795e-07,7.30446
-159.244,-114.898,7.44451,-6.90292e-07,1.04102e-05,-5.02925e-07,7.44448,-1.81402e-07,-2.6985e-07,-1.81401e-07,7.44449
-159.244,-110.866,7.58668,-6.75632e-07,9.93091e-06,-4.92301e-07,7.58665,-1.55733e-07,-1.52461e-07,-1.55732e-07,7.58666
-159.244,-106.835,7.73077,-6.57694e-07,9.45042e-06,-4.78557e-07,7.73074,-1.2788e-07,-4.40168e-08,-1.27879e-07,7.73075
-159.244,-102.803,7.87652,-6.36377e-07,8.97053e-06,-4.61576e-07,7.87649,-9.79789e-08,5.55261e-08,-9.79778e-08,7.8765
-159.244,-98.7717,8.02363,-6.11624e-07,8.49319e-06,-4.41283e-07,8.0236,-6.62144e-08,1.46326e-07,-6.62133e-08,8.02361
